Date,Open,High,Low,Close,Volume,Adj Close
2014-01-22,4234.58,4246.55,4225.52,4243.00,2026910000,4243.00
2014-01-21,4222.98,4227.93,4193.17,4225.76,2034030000,4225.76
2014-01-17,4207.82,4217.24,4187.31,4197.58,2150370000,4197.58
2014-01-16,4209.59,4219.28,4204.16,4218.69,2005850000,4218.69
2014-01-15,4196.53,4218.79,4195.98,4214.88,2101870000,4214.88
2014-01-14,4129.60,4183.84,4125.81,4183.02,2034180000,4183.02
2014-01-13,4167.41,4179.47,4097.99,4113.30,2322240000,4113.30
2014-01-10,4168.94,4174.68,4142.21,4174.67,2143070000,4174.67
2014-01-09,4179.04,4182.74,4142.70,4156.19,2214770000,4156.19
2014-01-08,4154.28,4171.75,4145.00,4165.61,2345220000,4165.61
2014-01-07,4128.57,4158.18,4126.48,4153.18,2278220000,4153.18
2014-01-06,4137.03,4139.78,4103.75,4113.68,2292840000,4113.68
2014-01-03,4148.56,4152.96,4124.96,4131.91,1667480000,4131.91
2014-01-02,4160.03,4160.96,4131.79,4143.07,1738820000,4143.07
2013-12-31,4161.51,4177.73,4160.77,4176.59,1401140000,4176.59
2013-12-30,4153.58,4158.73,4142.18,4154.20,30588748800,4154.20
2013-12-27,4173.36,4175.36,4153.64,4156.59,1255020000,4156.59
2013-12-26,4164.21,4169.97,4158.59,4167.18,1180670000,4167.18
2013-12-24,4150.64,4155.62,4147.15,4155.42,802270000,4155.42
2013-12-23,4136.15,4149.31,4127.72,4148.90,1779400000,4148.90
2013-12-20,4064.89,4111.93,4064.73,4104.74,3510420000,4104.74
2013-12-19,4059.34,4063.70,4045.41,4058.14,1813050000,4058.14
2013-12-18,4024.67,4070.38,3979.59,4070.06,2178330000,4070.06
2013-12-17,4028.88,4034.69,4011.58,4023.68,1861130000,4023.68
2013-12-16,4019.37,4043.00,4019.14,4029.52,1943830000,4029.52
2013-12-13,4015.53,4017.45,3992.29,4000.98,1615340000,4000.98
2013-12-12,4004.75,4013.54,3993.57,3998.40,1893270000,3998.40
2013-12-11,4061.67,4065.08,3998.92,4003.81,1923520000,4003.81
2013-12-10,4061.17,4074.01,4056.49,4060.49,1864860000,4060.49
2013-12-09,4073.75,4081.78,4063.50,4068.75,1717120000,4068.75
2013-12-06,4069.86,4069.86,4042.35,4062.52,1727130000,4062.52
2013-12-05,4037.99,4043.71,4025.26,4033.17,1880950000,4033.17
2013-12-04,4020.33,4051.74,4004.76,4038.00,1886970000,4038.00
2013-12-03,4038.99,4050.08,4022.12,4037.20,1875010000,4037.20
2013-12-02,4065.66,4068.49,4040.88,4045.26,1680380000,4045.26
2013-11-29,4057.16,4069.70,4055.45,4059.89,853500000,4059.89
2013-11-27,4026.92,4045.81,4023.65,4044.75,1477020000,4044.75
2013-11-26,3996.70,4026.99,3989.49,4017.75,1907680000,4017.75
2013-11-25,4004.37,4007.09,3987.16,3994.57,1795760000,3994.57
2013-11-22,3977.31,3991.66,3973.00,3991.65,1730280000,3991.65
2013-11-21,3938.11,3970.91,3936.82,3969.16,1684250000,3969.16
2013-11-20,3940.98,3952.08,3911.61,3921.27,1721160000,3921.27
2013-11-19,3945.98,3960.44,3923.47,3931.55,1747840000,3931.55
2013-11-18,3990.06,3994.97,3942.85,3949.07,1829870000,3949.07
2013-11-15,3978.27,3985.97,3969.22,3985.97,1899150000,3985.97
2013-11-14,3956.47,3975.89,3949.01,3972.74,1965350000,3972.74
2013-11-13,3899.38,3965.58,3899.31,3965.58,1827220000,3965.58
2013-11-12,3907.82,3922.27,3902.67,3919.92,1776860000,3919.92
2013-11-11,3913.64,3925.34,3904.72,3919.79,1595340000,3919.79
2013-11-08,3871.24,3919.23,3869.12,3919.23,1981740000,3919.23
2013-11-07,3935.81,3938.33,3855.07,3857.33,2303320000,3857.33
2013-11-06,3952.18,3955.97,3920.91,3931.95,2020160000,3931.95
2013-11-05,3925.06,3947.27,3909.63,3939.86,1934630000,3939.86
2013-11-04,3932.60,3937.50,3919.46,3936.59,1817880000,3936.59
2013-11-01,3932.45,3938.48,3904.20,3922.04,1949460000,3922.04
2013-10-31,3924.34,3945.04,3909.26,3919.71,2139650000,3919.71
2013-10-30,3962.40,3966.71,3919.14,3930.62,1923000000,3930.62
2013-10-29,3954.34,3957.12,3934.94,3952.34,1897380000,3952.34
2013-10-28,3942.56,3947.58,3927.09,3940.13,1904810000,3940.13
2013-10-25,3955.98,3961.10,3927.50,3943.36,2225780000,3943.36
2013-10-24,3911.61,3932.60,3907.54,3928.96,2054350000,3928.96
2013-10-23,3907.30,3911.64,3887.67,3907.07,1915030000,3907.07
2013-10-22,3935.54,3947.67,3904.06,3929.57,1890500000,3929.57
2013-10-21,3922.65,3931.45,3909.91,3920.05,1674470000,3920.05
2013-10-18,3893.36,3914.93,3882.06,3914.28,1943090000,3914.28
2013-10-17,3822.85,3863.49,3821.43,3863.15,1975140000,3863.15
2013-10-16,3815.00,3840.48,3814.15,3839.43,1744000000,3839.43
2013-10-15,3810.72,3824.44,3789.68,3794.01,1745560000,3794.01
2013-10-14,3767.49,3816.41,3766.28,3815.28,1455160000,3815.28
2013-10-11,3753.22,3794.37,3751.38,3791.87,1750350000,3791.87
2013-10-10,3721.58,3764.72,3721.11,3760.75,1902410000,3760.75
2013-10-09,3701.62,3702.15,3650.03,3677.78,2242700000,3677.78
2013-10-08,3772.22,3772.49,3694.15,3694.83,2087580000,3694.83
2013-10-07,3776.64,3800.08,3769.75,3770.38,1475990000,3770.38
2013-10-04,3774.72,3812.86,3773.40,3807.75,1549600000,3807.75
2013-10-03,3809.90,3816.96,3753.17,3774.34,1884340000,3774.34
2013-10-02,3793.11,3819.28,3788.45,3815.02,1792980000,3815.02
2013-10-01,3774.18,3817.98,3774.18,3817.98,1843320000,3817.98
2013-09-30,3737.60,3780.97,3734.74,3771.48,1895760000,3771.48
