Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,72.38,74.75,72.25,74.75,28829800,72.28
2006-01-04,75.13,75.98,74.50,74.97,22128700,72.49
2006-01-05,74.83,74.90,73.75,74.38,16050800,71.92
2006-01-06,75.25,76.70,74.55,76.30,25159200,73.78
2006-01-09,76.73,77.20,75.74,76.05,24108600,73.53
2006-01-10,76.25,81.89,75.83,80.86,81423900,78.18
2006-01-11,83.84,84.80,82.59,83.90,53349800,81.12
2006-01-12,84.97,86.40,83.62,84.29,45743200,81.50
2006-01-13,84.99,86.01,84.60,85.59,27725200,82.76
2006-01-17,85.70,86.38,83.87,84.71,29843700,81.91
2006-01-18,83.08,84.05,81.85,82.49,42879900,79.76
2006-01-19,81.25,81.66,78.74,79.04,60566000,76.42
2006-01-20,79.28,80.04,75.83,76.09,40527100,73.57
2006-01-23,76.10,79.56,76.00,77.67,37847500,75.10
2006-01-24,78.76,79.42,75.77,76.04,40794800,73.52
2006-01-25,77.39,77.50,73.25,74.20,45563800,71.74
2006-01-26,74.53,75.43,71.93,72.33,42192400,69.94
2006-01-27,72.95,73.60,71.10,72.03,34066600,69.65
2006-01-30,71.17,76.60,70.87,75.00,49942900,72.52
2006-01-31,75.50,76.34,73.75,75.51,32626500,73.01
2006-02-01,74.95,76.46,74.64,75.42,18613800,72.92
2006-02-02,75.10,75.36,72.05,72.10,25261500,69.71
2006-02-03,72.24,72.79,71.04,71.85,24718700,69.47
2006-02-06,72.02,72.51,66.74,67.30,58991700,65.07
2006-02-07,68.27,69.48,66.68,67.60,49601100,65.36
2006-02-08,68.49,69.08,66.00,68.81,34039800,66.53
2006-02-09,69.10,69.23,64.53,64.95,41063000,62.80
2006-02-10,65.18,67.67,62.90,67.31,62874200,65.08
2006-02-13,66.63,66.75,64.64,64.71,31553500,62.57
2006-02-14,65.10,68.10,65.00,67.64,41462100,65.40
2006-02-15,67.16,69.62,66.75,69.22,41420400,66.93
2006-02-16,69.91,71.01,69.48,70.57,33863400,68.23
2006-02-17,70.30,70.89,69.61,70.29,20571400,67.96
2006-02-21,70.59,70.80,68.68,69.08,27843100,66.79
2006-02-22,69.00,71.67,68.00,71.32,34937100,68.96
